Dates,Sermon Series,Sermon Title,Sermon Text,Preacher
7-Jan-2024,New Year,Vision Sunday,Psalm 1:1-6,Lincoln
14-Jan-2024,God has you covered (Leviticus),Sacrifices,Leviticus 1 - 7,Lincoln
21-Jan-2024,God has you covered (Leviticus),Priests,Leviticus 8 - 10,Lincoln
28-Jan-2024,God has you covered (Leviticus),Purity,Leviticus 11 - 15,Joshua Tay
4-Feb-2024,God has you covered (Leviticus),Atonement,Leviticus 16,Lincoln
11-Feb-2024,God has you covered (Leviticus),Holiness (Part 1),Leviticus 17 - 22,Lincoln
18-Feb-2024,God has you covered (Leviticus),Holiness (Part 2),Leviticus 23 - 25,Lincoln
25-Feb-2024,God has you covered (Leviticus),Vows,Leviticus 26 - 27,Fan Yung
3-Mar-2024,The Servant King (Matthew),Rejected Prophets & a Hostile King,Matthew 13:53 - 14:12,Lincoln
10-Mar-2024,The Servant King (Matthew),Bread and Water,Matthew 14:13 - 36,Rodney
17-Mar-2024,The Servant King (Matthew),"Hands, lips, hearts, mouths, eyes",Matthew 15:1 - 20,Lincoln
24-Mar-2024,The Servant King (Matthew),An outsider's astonishing faith,Matthew 15:21 - 28,Joshua Tay
29-Mar-2024,Good Friday,Good Friday Talk,Romans 5:6-11,Daniel Tan
31-Mar-2024,Why the Resurrection Matters,"Why the Resurrection Matters: No Resurrection, No Gospel",1 Corinthians 15:1 - 19,Lincoln
7-Apr-2024,Why the Resurrection Matters,"Why the Resurrection matters: No Resurrection, No Future",1 Corinthians 15:20 - 34,Lincoln
14-Apr-2024,Why the Resurrection Matters,Why the Resurrection matters: The Resurrection means New Bodies,1 Corinthians 15:35 - 58,Lincoln
21-Apr-2024,The Servant King (Matthew),Bread for the nations,Matthew 15:29 - 39,Joshua Tay
28-Apr-2024,The Servant King (Matthew),Sign of the times,Matthew 16:1 - 12,Daniel Lee
5-May-2024,The Servant King (Matthew),The Son of the Living God,Matthew 16:13 - 20,Lincoln
12-May-2024,The Servant King (Matthew),Cost and benefit,Matthew 16:21 - 28,Joshua Tay
19-May-2024,The Servant King (Matthew),Listen to Him,Matthew 17:1 - 8,Jerry Tay
26-May-2024,The Servant King (Matthew),A time to speak,Matthew 17:9 - 20,Lincoln
2-Jun-2024,The Servant King (Matthew),Death and taxes,Matthew 17:22 - 27,Looi Kwok Peng
9-Jun-2024,The Servant King (Matthew),Fleeing from sin,Matthew 18:1 - 14,Yap Poh Kheng
14-Jun-2024,Growing with Joy (Church Camp),Growing with Joy: Rediscovering the Glory of the Gospel,Colossians 1-4,Tim Nicholls
15-Jun-2024,Growing with Joy (Church Camp),Growing in Service: Rediscovering the Joy of Sacrifice,"Philippians 2:1-11, John 13, Matthew 25:14-30",Tim Nicholls
16-Jun-2024,Growing with Joy (Church Camp),Growing Together: Rediscovering the Joy of Gospel-Community,"Ephesians 2, Philippians 1:3-8, Ephesians 4, Hebrews 10:24-25",Tim Nicholls
17-Jun-2024,Growing with Joy (Church Camp),Growing Personally: Revitalising Our Hearts for Transformation,"Matthew 6:19-24, 1 Peter 1:1-9, Philippians 3:12-4:1",Tim Nicholls
23-Jun-2024,The Servant King (Matthew),Facing sin,Matthew 18:15 - 20,Lincoln
30-Jun-2024,The Servant King (Matthew),Forgiving sin,Matthew 18:21 - 25,Lincoln
7-Jul-2024,BCC Anniversary,BCC Anniversary,Galatians 6:1-10,James Lee
14-Jul-2024,Missions Month,"Neighbour in Need, Mission in Deed",Luke 10:25-37,Lee Khai Mun
21-Jul-2024,Missions Month,The Gospel's Key Demand,Acts 3:1 - 4:4,Lincoln
28-Jul-2024,Missions Month,The Gospel's Universal Claim,Acts 4:5 - 22,Terence
4-Aug-2024,Open Ministry,Amazed by God,Psalm 139,Rodney Sim
11-Aug-2024,Missions Month,The Gospel's Sovereign Purpose,Acts 4:23 - 31,Lincoln
18-Aug-2024,"God, Technology & the Christian",Love instead of self-centred despair,1 John 4:7-12,Lincoln
25-Aug-2024,"God, Technology & the Christian",Patience instead of impatience,James 5:7-11,Lincoln
1-Sep-2024,Open Ministry,Is There More to Life that I'm Missing?,Luke 15:11-32,Lim Chien Chong
8-Sep-2024,"God, Technology & the Christian",Self-control instead of reckless indulgence,Titus 2:1-15,Lincoln
15-Sep-2024,"God, Technology & the Christian",A little Theology about Technology,Job 28:1-28,Lincoln
22-Sep-2024,A Church Shaped by Grace (Romans),A Living Sacrifice,Romans 12:1 - 2,Lincoln
